Left context,Center,Right context,Class
  Требуется ясное понимание тех ,конструкций,языка,1
" состава инструментария JULIA, расширенный онтологическими ",конструкциями, ,1
" Language) [13], который имеет простые ",конструкции,для описания классов (подклассов) и ,1
 Инструмент-3м предоставляет стандартные управляющие ,конструкции,настраиваемые пользователем лексику и набор ,1
" контексте, отражает наиболее типичные синтаксические ",конструкции,и реальные словосочетания или предложения ,1
грамматической,конструкции,являются неупотребительными.  ,1
языковые,конструкции,"вызванные тем, что русские старались ",1
эргативной,конструкцией,"чуждой, впрочем, семитским языкам) [2 ",1
языки,конструкцию,подобно современным севернокавказским языкам (а ,1
эргативной,конструкцией,мы понимаем такой грамматический строй ,1
 ярчайшим показательным образчиком которого является ,конструкция,"вас много, а я один ",1
грамматических,конструкций,и так далее.  ,1
"  [Брут, nick]   А основная ",конструкция,"грамматика, фонетика ― остается за одним ",1
языка,конструкций,"сигнал читателю: «Смотри, не вляпайся ",1
частотный,конструкции, ,1
языка,конструкции,созданной в процессе эволюционного развития ,1
языкового,конструкций,ср.  ,1
языке,конструкции,с женским окончанием унижают.  ,1
 и помимо нахождения для этой ,конструкции,некоторой новой формы воплощения («второй ,1
грамматических,конструкций,"языкового высказывания, то есть заставить ",1
 не соотносится ни с миметической ,конструкцией,"отражения», ни с «истиной познания ",1
 которых» и их смен смысловая ,конструкция,языкового,1
языковая,конструкция,"аналогичная суждению, но ― дадим ремарку ",1
языковых,конструкциях,может быть дан в референциальной ,1
" актах логического выражения), но в ",конструкциях,грамматических,1
 изоморфен течению актов сознания и ,конструкции,их ноэтически-ноэматических структур.  ,1
" то, что в теории нарративной ",конструкции,выявлено много таких особенностей ее ,1
 в пределах единой субъект-предикатной ,конструкции,как раз и содержится в ,1
языковую,конструкцию,"нескольких актов сознания, их то ",1
языка,конструкции, ,1
 в поэзии сквозь усложненные синтаксические ,конструкции,и сложные узоры эмоциональной канвы ,1
языковых,конструкциях,"наоборот), то в символической фигуре ",1
языковыми,конструкциями, ,1
 в заблуждение вводит субъектно-предикатная ,конструкция,языка,1
Языковой,конструкции,X verboten» в английском соответствует ,1
  При всей очевидности ,конструкции,языке,1
грамматических,конструкциях,официальной строго отмеренной скорби о ,1
" что позволяет, употребляя незначительное число ",конструкций,языка,1
 является возможность использования в некоторых ,конструкциях,"правил трансформации вызова функций, реализованных ",1
 в программе трансформаций непосредственно применять ,конструкции,языка C++ для представления процедурных ,1
 Программа трансформаций включает как собственные ,конструкции,языкаконструкции,1
 задача перевода во внутреннее представление ,конструкций,"описываемых целевым языком, решается вспомогательным ",1
" трансформаций выделяются цепочки символов, содержащие ",конструкции,языка,1
 с распределенными по тексту программы ,конструкциями,язык,1
языковые,конструкции,автора в привычный для нас ,1
 в модели знаков и знаковых ,конструкций,языка,1
 исследование значений знаков и знаковых ,конструкций,языка,1
языковых,конструкций,"а синтаксис вторичен, поскольку его ",1
 в построении обобщенных формальных семантических ,конструкций,языка,1
языковых,конструкций,"сложным синтаксисом, неадекватностью ЕЯ для ",1
 путем его дополнения новыми языковыми ,конструкциями,обеспечивающими выражение новых смысловых универсалий ,1
 при взаимной контекстной независимости языковых ,конструкций, ,1
Языковая,конструкция,"контекстно независима, если ее интерпретация ",1
 все новых и новых языковых ,конструкций,отражающих все новые и новые ,1
языковой,конструкции,конструкцию,1
   ― частичное несоответствие структур и ,конструкции,языка,1
 шаблона (строковое определение шаблона) ― это ,конструкция,языке,1
грамматическая,конструкция,которого предполагает такую взаимосвязь (см ,1
   ,Конструкции,языка,1
